epoch,step,s-nll,a-nll,s-kl,a-kl,i-l,sa-l,aa-l
21,040400,1.9907,1.9479,0.0000,0.0000,0.0000,0.3562,0.8679
21,040600,2.3240,2.1826,0.0235,2.1725,0.0000,0.0000,0.0000
21,040800,2.0185,1.8824,0.0169,2.0316,0.0000,0.0000,0.0000
21,041000,1.9610,1.9319,0.0224,1.6548,0.0000,0.0000,0.0000
21,041200,2.3399,2.2574,0.0299,2.0990,-0.0000,0.0000,0.0000
21,041400,2.3950,2.3615,0.0000,0.0000,0.0000,0.2997,1.0640
21,041600,2.2019,2.0605,0.0211,1.8182,0.0000,0.0000,0.0000
21,041800,1.8533,1.8217,0.0000,0.0000,0.0000,0.2028,0.5839
21,042000,1.8634,1.8103,0.0000,0.0000,0.0000,0.2671,0.6329
21,042200,2.4625,2.3898,0.0669,1.8331,0.0000,0.0000,0.0000
22,042400,2.1335,2.0599,0.0453,1.9122,0.0000,0.0000,0.0000
22,042600,2.1055,2.0795,0.0000,0.0000,0.0000,0.2959,0.8174
22,042800,1.8441,1.8134,0.0000,0.0000,0.0000,0.3359,0.7759
22,043000,1.9431,1.8248,0.0408,1.7673,0.0000,0.0000,0.0000
22,043200,2.0271,1.9799,0.0000,0.0000,0.0000,0.1895,1.0587
22,043400,2.1714,2.0966,0.1174,2.0965,-0.0000,0.0000,0.0000
22,043600,2.0379,1.8945,0.0256,1.7470,0.0000,0.0000,0.0000
22,043800,1.7533,1.7149,0.0000,0.0000,0.0000,0.2779,0.7390
22,044000,2.2910,2.2064,0.0413,1.2771,0.0000,0.0000,0.0000
23,044200,1.9901,1.9620,0.0000,0.0000,0.0000,0.4665,0.9187
23,044400,2.1001,1.9865,0.0821,1.6756,0.0000,0.0000,0.0000
23,044600,1.9371,1.8394,0.0280,1.5086,0.0000,0.0000,0.0000
23,044800,2.0162,1.9506,0.0265,1.8974,-0.0000,0.0000,0.0000
23,045000,2.0237,1.9053,0.0227,1.6978,-0.0000,0.0000,0.0000
23,045200,1.9305,1.8748,0.0000,0.0000,0.0000,0.2843,0.9482
23,045400,2.0124,1.9726,0.0000,0.0000,0.0000,0.2127,0.7156
23,045600,1.7292,1.6302,0.1168,1.8203,0.0000,0.0000,0.0000
23,045800,2.0953,2.0492,0.0000,0.0000,0.0000,0.1798,0.7549
23,046000,1.7995,1.7575,0.0000,0.0000,0.0000,0.2818,0.7989
24,046200,1.9721,1.9083,0.0221,1.6270,0.0000,0.0000,0.0000
24,046400,2.1481,2.0057,0.0507,1.8424,-0.0000,0.0000,0.0000
24,046600,2.1777,2.0940,0.0780,1.7959,0.0000,0.0000,0.0000
24,046800,1.7281,1.7054,0.0000,0.0000,0.0000,0.3892,0.6879
24,047000,2.0250,1.9784,0.0000,0.0000,0.0000,0.1064,0.6874
24,047200,2.1237,2.0641,0.0000,0.0000,0.0000,0.3148,0.8208
24,047400,2.0385,1.9460,0.0365,1.5406,0.0000,0.0000,0.0000
24,047600,2.2663,2.2575,0.0768,1.3510,0.0000,0.0000,0.0000
24,047800,2.1264,1.9710,0.0315,1.9161,0.0000,0.0000,0.0000
24,048000,2.0633,1.9864,0.0000,0.0000,0.0000,0.2253,0.6709
25,048200,1.9573,1.9076,0.0000,0.0000,0.0000,0.1915,0.5871
25,048400,1.9611,1.9188,0.0000,0.0000,0.0000,0.1706,0.6889
25,048600,1.8546,1.8232,0.0000,0.0000,0.0000,0.2662,0.7320
25,048800,2.0420,1.9248,0.0286,1.9749,0.0000,0.0000,0.0000
25,049000,1.9884,1.9689,0.0157,1.3678,0.0000,0.0000,0.0000
25,049200,1.8135,1.7375,0.0247,1.3791,0.0000,0.0000,0.0000
25,049400,1.6004,1.5621,0.0000,0.0000,0.0000,0.1398,0.4390
25,049600,2.2089,2.1633,0.0346,1.8335,0.0000,0.0000,0.0000
25,049800,1.9382,1.8750,0.0000,0.0000,0.0000,0.1817,0.9555
26,050000,1.7333,1.7064,0.0000,0.0000,0.0000,0.1283,0.4506
26,050200,2.1108,2.0266,0.0366,1.3821,0.0000,0.0000,0.0000
26,050400,1.7651,1.7383,0.0000,0.0000,0.0000,0.2392,0.4444
26,050600,1.6976,1.6313,0.0263,1.4676,0.0000,0.0000,0.0000
26,050800,2.0220,1.9439,0.0000,0.0000,0.0000,0.4523,0.8794
26,051000,1.8639,1.7556,0.0000,0.0000,0.0000,0.1587,0.8458
26,051200,1.8423,1.7527,0.0000,0.0000,0.0000,0.2436,0.5760
26,051400,2.0235,1.9177,0.0367,1.6351,0.0000,0.0000,0.0000
26,051600,1.5997,1.4793,0.0527,1.6203,0.0000,0.0000,0.0000
